Course,Course Title,Instructor Name,Term,Section,TOTAL(COUNTD([COURSE_ID])),Avg. Number of Records,Number of Grades
CMSC100,BITS & BYTES OF CS,"Neuner, A.",Fall 2017,0201,863,1,17
CMSC100,BITS & BYTES OF CS,"Neuner, A.",Fall 2018,0201,863,1,14
CMSC100,BITS & BYTES OF CS,"Vaillancourt, A.",Fall 2016,0101,863,1,38
CMSC100,BITS & BYTES OF CS,"Vaillancourt, A.",Fall 2017,0101,863,1,16
CMSC100,BITS & BYTES OF CS,"Vaillancourt, A.",Fall 2018,0101,863,1,16
CMSC101,INTRO IMMERSIV MEDIA,"Bendell, M.",Fall 2020,0101,863,1,13
CMSC106,INTRO C PROGRAMMING,"Banes, A.",Fall 2019,0101,863,1,41
CMSC106,INTRO C PROGRAMMING,"Padua-Perez, N.",Fall 2016,0101,863,1,46
CMSC106,INTRO C PROGRAMMING,"Yoon, I.",Fall 2017,0101,863,1,39
CMSC106,INTRO C PROGRAMMING,"Yoon, I.",Fall 2018,0101,863,1,40
CMSC106,INTRO C PROGRAMMING,"Yoon, I.",Fall 2020,0101,863,1,38
CMSC122,INTRO COMP PROG VIA WEB,"Bercea, I.",Spring 2016,0101,863,1,74
CMSC122,INTRO COMP PROG VIA WEB,"Bercea, I.",Spring 2016,0201,863,1,73
CMSC122,INTRO COMP PROG VIA WEB,"Bercea, I.",Spring 2016,0301,863,1,73
CMSC122,INTRO COMP PROG VIA WEB,"Brubach, B.",Spring 2019,0101,863,1,85
CMSC122,INTRO COMP PROG VIA WEB,"Emad, F.",Fall 2017,0101,863,1,85
CMSC122,INTRO COMP PROG VIA WEB,"Emad, F.",Fall 2017,0201,863,1,83
CMSC122,INTRO COMP PROG VIA WEB,"Emad, F.",Fall 2017,0301,863,1,84
CMSC122,INTRO COMP PROG VIA WEB,"Emad, F.",Spring 2018,0101,863,1,85
CMSC122,INTRO COMP PROG VIA WEB,"Emad, F.",Spring 2018,0201,863,1,84
CMSC122,INTRO COMP PROG VIA WEB,"Emad, F.",Spring 2018,0301,863,1,80
CMSC122,INTRO COMP PROG VIA WEB,"Manly, J.",Spring 2020,0101,863,1,100
CMSC122,INTRO COMP PROG VIA WEB,"Padua-Perez, N.",Sum II 2016,YS41,863,1,10
CMSC122,INTRO COMP PROG VIA WEB,"Reinhardt, T.",Fall 2016,0101,863,1,72
CMSC122,INTRO COMP PROG VIA WEB,"Reinhardt, T.",Fall 2016,0201,863,1,74
CMSC122,INTRO COMP PROG VIA WEB,"Reinhardt, T.",Fall 2016,0301,863,1,72
CMSC122,INTRO COMP PROG VIA WEB,"Sadeghian, P.",Fall 2019,0201,863,1,66
CMSC122,INTRO COMP PROG VIA WEB,"Sadeghian, P.",Spring 2016,0101,863,1,74
CMSC122,INTRO COMP PROG VIA WEB,"Sadeghian, P.",Spring 2016,0201,863,1,73
CMSC122,INTRO COMP PROG VIA WEB,"Sadeghian, P.",Spring 2016,0301,863,1,73
CMSC122,INTRO COMP PROG VIA WEB,"Sadeghian, P.",Spring 2017,0101,863,1,73
